feature,importance
engagement_density,0.4450984
velocity,0.23579626
reach_ratio,0.11533409
duration_seconds,0.06309644
subscriber_count_log,0.059103724
title_length,0.056212604
legacy_engagement_score,0.025358457
exclamation_count,0.0
has_power_word,0.0
is_uppercase,0.0
contains_emojis,0.0
emoji_count,0.0
title_sentiment,0.0
contains_exclamation,0.0
question_count,0.0
day_cos,0.0
day_sin,0.0
hour_cos,0.0
hour_sin,0.0
contains_number,0.0
all_caps_word_count,0.0
is_weekend,0.0
engagement_rate,0.0
