video_id,view_count,like_count,comment_count,captured_at
L_4BPjLBF4E,12826458,239984,10069,2026-01-19T21:16:34.222401
ta99S6Fh53c,6778833,100887,4261,2026-01-19T21:16:34.222438
LPZh9BOjkQs,4967999,155350,2110,2026-01-19T21:16:34.222449
mYNqikThZvQ,3965564,64653,3315,2026-01-19T21:16:34.222461
2IK3DFHRFfw,3664998,123889,3925,2026-01-19T21:16:34.222476
8fICnUvIw6g,3647857,67931,2840,2026-01-19T21:16:34.222507
Nz1MI8nsFTs,3139183,86000,1909,2026-01-19T21:16:34.222530
Yq0QkCxoTHM,3081634,51433,2497,2026-01-19T21:16:34.222549
LKCVKw9CzFo,2765125,103415,4038,2026-01-19T21:16:34.222558
nVyD6THcvDQ,2743600,60080,2072,2026-01-19T21:16:34.222566
qYNweeDHiyU,2690975,63155,1705,2026-01-19T21:16:34.222575
pIxizLhkVIU,2405438,17266,197,2026-01-19T21:16:34.222583
LF0VlzxGOY0,2305281,29877,2014,2026-01-19T21:16:34.222590
I9shN8G3z9U,2265227,11936,625,2026-01-19T21:16:34.222597
uIUvpJdYgSA,2152631,75842,2467,2026-01-19T21:16:34.222605
KzJORp8bgqs,1740507,23713,569,2026-01-19T21:16:34.222612
E0Hmnixke2g,1735964,65036,635,2026-01-19T21:16:34.222619
37VZu3b045k,1685120,73817,2700,2026-01-19T21:16:34.222626
T-D1OfcDW1M,1647406,39115,888,2026-01-19T21:16:34.222638
TlHvYWVUZyc,1587673,32234,428,2026-01-19T21:16:34.222644
St48epdRDZw,1540025,53953,1071,2026-01-19T21:16:34.222653
Nx4bvwU0DqE,1509236,50762,497,2026-01-19T21:16:34.222663
d-CuF6dlqLg,1353420,18913,565,2026-01-19T21:16:34.222670
x60zHw_z4NM,1322187,25318,809,2026-01-19T21:16:34.222678
5sLYAQS9sWQ,1319112,19552,364,2026-01-19T21:16:34.222684
h7LDnVsNRVI,1303960,38825,1189,2026-01-19T21:16:34.222690
zIdv2NDRExI,1281824,88318,2194,2026-01-19T21:16:34.222698
ussgXhJ-cp0,1185541,23072,968,2026-01-19T21:16:34.222704
Gx5qb1uHss4,1167662,34809,379,2026-01-19T21:16:34.222710
bno03RUhMIY,1165672,37288,1339,2026-01-19T21:16:34.222716
Rcn2Htnyens,0,0,0,2026-01-19T21:16:34.222724
FRF1KInZJGM,18,7,0,2026-01-19T21:16:34.222732
qE9PckiL0tg,5,0,0,2026-01-19T21:16:34.222742
XuHU1dXA6ZE,63,4,0,2026-01-19T21:16:34.222750
